"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"North Hill","OH","Akron","Summit","Akron",831,742,0.0040595399188092,0.0040595399188092,0.00134952766531714,5387
2017-10-31,"Northwest","TX","Corpus Christi","Nueces","Corpus Christi",832,1368,0.00736377025036819,0.0148367952522255,-0.0115606936416185,4255
2017-10-31,"Pioneer Park","NV","Las Vegas","Clark","Las Vegas",833,1147,0.00087260034904014,0.00437828371278459,0.0542279411764706,6011
2017-10-31,"Irving Park","IL","Chicago","Cook","Chicago",834,1895,0,0.0117458622530699,0.0188172043010753,2790
2017-10-31,"Dupont Circle","DC","Washington","District of Columbia","Washington",835,2450,0.00122599100939926,0.0115606936416185,0.00740131578947368,6466
2017-10-31,"Fruitville","FL","North Port-Sarasota-Bradenton","Sarasota","Sarasota",836,1711,-0.00058411214953271,0.00293083235638921,-0.00291375291375291,5135
2017-10-31,"Weber Ranch","CA","Stockton","San Joaquin","Stockton",837,1512,0.0134048257372654,0.0334928229665072,0.0610526315789474,4401
2017-10-31,"Outer Parkside","CA","San Francisco","San Francisco","San Francisco",838,3825,-0.00803941908713693,-0.0131578947368421,-0.0529834117355781,4575
2017-10-31,"Afton Oaks - River Oaks Area","TX","Houston","Harris","Houston",839,4652,-0.0047068891741549,-0.021043771043771,-0.11017597551645,6012
2017-10-31,"Galewood","IL","Chicago","Cook","Chicago",840,1803,-0.00661157024793388,-0.00715859030837004,0.018068887634105,3801
2017-10-31,"Ashburn","IL","Chicago","Cook","Chicago",841,1473,-0.00203252032520325,0.00546075085324232,0.0243393602225313,4175
2017-10-31,"Beverly","IL","Chicago","Cook","Chicago",842,2054,0.00587659157688541,0.0275137568784392,0.00834560628375061,4219
2017-10-31,"Scottsdale","IL","Chicago","Cook","Chicago",843,1537,-0.00388852883992223,-0.00388852883992223,0.0336247478143914,4184
2017-10-31,"McKinley Park","IL","Chicago","Cook","Chicago",844,1563,-0.00509229789942712,-0.00698856416772554,-0.00382409177820268,2018
2017-10-31,"Outer Richmond","CA","San Francisco","San Francisco","San Francisco",845,4249,0.00283219258909606,0.00235904694503421,-0.0722707423580786,4232
2017-10-31,"Palolo","HI","Urban Honolulu","Honolulu","Honolulu",846,2479,0.00486420753952169,0.0105992662046474,-0.0143141153081511,2967
2017-10-31,"UC Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange","Irvine",847,3510,0.0135720473577823,0.0124026535910009,0.128980379543261,861
2017-10-31,"South Broadway","OH","Cleveland","Cuyahoga","Cleveland",848,788,0,-0.00126742712294043,0.00382165605095541,5776
